#page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 20634a MCBC Standard Packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Col percents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. Please indicate your gender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Unweighted - All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTALàñäå,,,,GENDER,,,,,,,,SOCIAL CLASS,,,,,,,,AGED,,,,,,,,,,,,,,,,,,,,,,,,COBRA PURCHASE,,,,,,,,,,,,,,,,BRAND LOYALISTS,,,,TARGET AUDIENCE,,,,,,,,,,,,,,,,,,,,PRODUCT ACCEPTORS/ REJECTORS,,,,,,,,REGION,,,,,,,,,,,,,,,,SHOPPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,,,,MALE,,,,FEMALE,,,,ABC1,,,,C2DE,,,, 18-24,,,, 25-34,,,, 35-44,,,, 45-49,,,, 18-34S,,,, 35+,,,,EVER BOUGHT AND DRUNK COBRA,,,,BOUGHT AND DRUNK COBRA LAST 6 MONTHS,,,,BOUGHT AND DRUNK COBRA LAST 4 WEEKS,,,,TOTAL NON COBRA L4W BUYERS,,,,COBRA,,,,ENTHUSIASTIC INFLUENCERS,,,,SOCIAL EXPLORERS,,,,CONSIDERED BALANCERS,,,,CONTENT ROUTINERS,,,,SAFE & SAVVY,,,,ACCEPTORS,,,,REJECTORS,,,,NORTH + SCOTLAND,,,,MIDLANDS,,,,SOUTH + WALES,,,,NORTHERN IRELAND,,,,ASDA,,,,SAINSBURYS,,,,TESCO,,,,MORRISONS,,,,BIG 4,,,,DISCOUNTERS,,,,CONVENIENCE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Total,Cobra Helix,Cobra Sheet,Cobra Current,Male,Cobra Helix,Cobra Sheet,Cobra Current,Female,Cobra Helix,Cobra Sheet,Cobra Current,ABC1,Cobra Helix,Cobra Sheet,Cobra Current,C2DE,Cobra Helix,Cobra Sheet,Cobra Current, 18-24,Cobra Helix,Cobra Sheet,Cobra Current, 25-34,Cobra Helix,Cobra Sheet,Cobra Current, 35-44,Cobra Helix,Cobra Sheet,Cobra Current, 45-49,Cobra Helix,Cobra Sheet,Cobra Current, 18-34S,Cobra Helix,Cobra Sheet,Cobra Current, 35+,Cobra Helix,Cobra Sheet,Cobra Current,Ever Bought And Drunk Cobra,Cobra Helix,Cobra Sheet,Cobra Current,Bought And Drunk Cobra Last 6 Months,Cobra Helix,Cobra Sheet,Cobra Current,Bought And Drunk Cobra Last 4 Weeks,Cobra Helix,Cobra Sheet,Cobra Current,Total non Cobra L4W buyers,Cobra Helix,Cobra Sheet,Cobra Current,Cobra,Cobra Helix,Cobra Sheet,Cobra Current,Enthusiastic Influencers,Cobra Helix,Cobra Sheet,Cobra Current,Social Explorers,Cobra Helix,Cobra Sheet,Cobra Current,Considered Balancers,Cobra Helix,Cobra Sheet,Cobra Current,Content Routiners,Cobra Helix,Cobra Sheet,Cobra Current,Safe & Savvy,Cobra Helix,Cobra Sheet,Cobra Current,Acceptors,Cobra Helix,Cobra Sheet,Cobra Current,Rejectors,Cobra Helix,Cobra Sheet,Cobra Current,North + Scotland,Cobra Helix,Cobra Sheet,Cobra Current,Midlands,Cobra Helix,Cobra Sheet,Cobra Current,South + Wales,Cobra Helix,Cobra Sheet,Cobra Current,Northern Ireland,Cobra Helix,Cobra Sheet,Cobra Current,ASDA,Cobra Helix,Cobra Sheet,Cobra Current,SAINSBURYS,Cobra Helix,Cobra Sheet,Cobra Current,TESCO,Cobra Helix,Cobra Sheet,Cobra Current,MORRISONS,Cobra Helix,Cobra Sheet,Cobra Current,BIG 4,Cobra Helix,Cobra Sheet,Cobra Current,DISCOUNTERS,Cobra Helix,Cobra Sheet,Cobra Current,CONVENIENCE,Cobra Helix,Cobra Sheet,Cobra Current
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted Total,455,455,149,160,146,297,98,95,104,158,51,65,42,338,113,113,112,117,36,47,34,26,8,8,10,172,59,59,54,187,62,67,58,70,20,26,24,198,67,67,64,257,82,93,82,264,87,93,84,196,64,68,64,152,52,51,49,303,97,109,97,157,60,50,47,206,70,70,66,137,42,56,39,73,20,27,26,17,7,3,7,22,10,4,8,350,113,120,117,105,36,40,29,129,40,56,33,82,25,27,30,239,81,76,82,5,3,1,1,261,195,212,202,276,222,221,223,355,279,282,282,192,150,157,151,448,146,158,144,177,53,75,49,155,55,51,49
Total,455,455,149,160,146,297,98,95,104,158,51,65,42,338,113,113,112,117,36,47,34,26,8,8,10,172,59,59,54,187,62,67,58,70,20,26,24,198,67,67,64,257,82,93,82,264,87,93,84,196,64,68,64,152,52,51,49,303,97,109,97,157,60,50,47,206,70,70,66,137,42,56,39,73,20,27,26,17,7,3,7,22,10,4,8,350,113,120,117,105,36,40,29,129,40,56,33,82,25,27,30,239,81,76,82,5,3,1,1,261,195,212,202,276,222,221,223,355,279,282,282,192,150,157,151,448,146,158,144,177,53,75,49,155,55,51,49
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
