"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"AGE. How old are you?",,
"Base - All Respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
"Under 16",0,0,0,0,0,0,0,0,0,0,0,0
"",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"",,,,,,,,,,,,
" 16-24",136,67,69,136,0,0,0,0,0,136,0,0
"",13%,14%,13%,100%,- ,- ,- ,- ,- ,36%,- ,- 
"",,,,BCDEF,,,,,,BC,,
" 25-34",245,89,156,0,245,0,0,0,0,245,0,0
"",24%,19%,29%,- ,100%,- ,- ,- ,- ,64%,- ,- 
"",,,A,,ACDEF,,,,,BC,,
" 35-44",205,98,107,0,0,205,0,0,0,0,205,0
"",20%,21%,20%,- ,- ,100%,- ,- ,- ,- ,56%,- 
"",,,,,,ABDEF,,,,,AC,
" 45-54",164,86,78,0,0,0,164,0,0,0,164,0
"",16%,18%,14%,- ,- ,- ,100%,- ,- ,- ,44%,- 
"",,,,,,,ABCEF,,,,AC,
" 55-64",123,60,63,0,0,0,0,123,0,0,0,123
"",12%,13%,12%,- ,- ,- ,- ,100%,- ,- ,- ,46%
"",,,,,,,,ABCDF,,,,AB
" 65+",144,78,66,0,0,0,0,0,144,0,0,144
"",14%,16%,12%,- ,- ,- ,- ,- ,100%,- ,- ,54%
"",,,,,,,,,ABCDE,,,AB
" Net" ,,
" 16-34",381,156,225,136,245,0,0,0,0,381,0,0
"",37%,33%,42%,100%,100%,- ,- ,- ,- ,100%,- ,- 
"",,,A,CDEF,CDEF,,,,,BC,,
" 35-54",369,184,185,0,0,205,164,0,0,0,369,0
"",36%,38%,34%,- ,- ,100%,100%,- ,- ,- ,100%,- 
"",,,,,,ABEF,ABEF,,,,AC,
